34.17	34.325	Yelp.
39.08	39.115	Really
39.28	39.315	good.
41.43	41.465	Really
41.91	41.945	good.
43.5	43.575	You'll
43.58	43.615	say
43.74	43.775	pretty.
82.22	82.255	All
82.62	82.655	right.
85.49	85.525	Does
85.57	85.605	Anyone
86.05	86.085	have
86.13	86.165	anything
86.49	86.525	they
86.57	86.605	want
86.65	86.685	to
86.93	86.965	discuss
87.49	87.525	this
87.61	87.645	week.
99.86	99.895	If
99.94	100.295	we're
100.3	100.335	looking
100.38	100.415	for
100.82	100.935	topics.
102.53	102.565	That
102.93	102.965	we
103.37	103.405	are.
105.2	105.235	I
105.28	105.675	don't
105.72	105.755	know.
106.91	106.945	If
107.39	107.425	anyone
107.83	107.905	ended
107.95	107.985	up
108.31	108.545	investigating.
109.54	109.575	The
109.62	109.735	memory
110.1	110.255	consumption
110.66	110.695	thing.
113.13	113.165	Because.
115.36	115.395	From
115.44	115.555	yesterday.
116.24	116.275	I
116.32	116.355	think
116.64	116.675	it
116.68	116.715	was
117.28	117.315	happening
117.72	117.755	before.
118.08	118.115	Because
118.48	118.515	that
118.6	119.075	reminded
119.12	119.155	me.
120.71	120.745	If
121.11	121.145	I
121.23	121.265	finally
121.75	121.825	finished.
124.3	124.335	The
124.42	124.455	new
124.86	124.935	version
125.34	125.375	of.
126.53	126.565	The
126.65	126.685	tool.
128.6	128.635	I've
128.64	128.675	been
129.12	129.155	kind
129.16	129.195	of
129.28	129.715	responsible
130.04	130.075	for
130.64	130.675	a
130.68	130.715	while
131.08	131.115	now.
132.19	132.225	It
132.23	132.265	has.
136.22	136.255	The
136.7	136.855	Observer.
138.13	138.165	Or
138.49	138.525	like
138.61	139.165	htop,
139.53	139.565	like.
140.76	140.955	Interface
141.56	141.595	for
141.68	142.155	investigating
142.44	142.475	like
142.88	142.915	the
142.92	142.995	memory
143.08	143.475	consumption
143.84	143.875	both
144.28	144.315	like
144.68	144.715	the
145.12	145.275	atom
145.56	145.715	tables
145.72	145.755	and
146.04	146.075	everything
146.12	146.155	else.
146.84	146.875	And
147.0	147.035	like.
148.19	148.225	Per.
149.18	149.215	Process
149.74	149.775	stuff.
150.14	150.175	So
150.46	150.495	if
150.58	150.615	we
150.62	150.655	ever
151.02	151.055	end
151.06	151.095	up
151.38	151.415	in
151.82	151.855	a
151.9	151.935	position
152.34	152.375	where
153.06	153.095	it
153.14	153.175	needs
153.58	153.815	investigation.
156.17	156.205	If
156.25	156.285	I
156.29	156.325	bring
156.37	156.405	it
156.69	156.725	to
156.77	156.845	production
157.13	157.165	ready,
157.25	157.285	we
157.29	157.325	could
157.65	157.685	use
157.73	157.765	that
158.37	158.405	just
158.45	158.485	kind
158.49	158.525	of
158.81	158.965	flagging
159.01	159.045	it
159.05	159.085	up.
159.37	159.405	And
159.41	159.445	I
159.45	159.525	don't
159.49	159.525	know
159.81	159.845	how
159.85	159.885	much
159.93	159.965	of
160.29	160.325	a
160.37	160.405	problem
161.01	161.045	the
161.45	161.525	memory
161.93	162.085	consumption
162.13	162.165	thing
162.49	162.525	is
162.57	162.605	for
162.97	163.005	now
163.77	163.805	for
163.85	163.885	us.
167.24	167.275	Yeah.
167.96	167.995	I'd
168.0	168.035	be
168.08	168.115	really
168.2	168.235	interested
168.6	168.635	in
168.72	168.755	seeing
169.44	169.475	how
169.56	169.595	it
169.96	169.995	looks.
172.03	172.105	Let's
172.15	172.185	just
172.47	172.505	see
172.55	172.585	how
172.67	172.985	we're
172.95	172.985	doing
173.07	173.105	right
173.15	173.185	now
173.55	173.585	anyway.
175.26	175.295	We
175.62	175.655	got
175.7	175.735	three
176.1	176.255	nodes
176.54	176.575	still
176.66	176.695	up,
177.06	177.095	though.
180.21	180.245	I
180.25	180.285	think
180.89	180.965	we're
181.05	181.085	kind
181.09	181.125	of
181.45	181.605	normal
181.89	181.925	for
182.01	182.045	today.
182.61	182.645	We
182.65	182.685	had
182.69	182.725	a
182.77	182.805	bit
182.85	182.885	of
183.29	183.325	a
183.57	183.725	cpu
183.77	184.205	spike
184.25	184.285	as
184.65	184.685	well.
188.48	188.515	But,
188.6	188.635	yeah,
189.2	189.235	I
189.201	189.275	didn't
189.32	189.355	get
189.44	189.475	time
189.76	189.795	to
189.88	189.955	dive
190.2	190.235	in
190.32	190.355	to
190.4	190.435	figure
190.68	190.715	out
191.08	191.115	what
191.52	191.555	was
191.68	191.715	actually
192.48	193.035	triggering
193.8	193.835	it.
195.51	195.545	Maybe
195.59	195.625	we
195.63	195.665	can
195.95	196.025	spin
196.35	196.385	by
196.95	196.985	two
197.03	197.145	nodes.
199.9	199.935	And
200.34	200.375	keep
200.46	200.495	an
200.5	200.575	eye
200.58	200.615	on
200.9	200.935	things
201.02	201.055	for
201.34	201.415	tomorrow.
201.74	201.775	Well,
201.82	201.855	I'll
201.86	201.895	leave
202.18	202.215	it
202.22	202.255	for
202.54	202.575	now
202.66	202.695	because
203.06	203.175	we're
203.58	203.615	kind
203.9	203.935	of,
203.94	203.975	like,
204.06	204.175	busy
204.5	204.535	part
204.58	204.615	of
204.9	204.935	the
204.98	205.015	day.
206.97	207.005	But
207.53	207.565	maybe
207.61	207.645	in
207.69	207.725	the
208.09	208.125	morning,
208.81	208.885	let's
209.21	209.245	bring
209.61	209.645	it
209.65	209.685	back
209.77	209.805	down
210.13	210.165	to
210.21	210.245	two.
211.01	211.045	And
211.09	211.125	then
211.81	211.845	if
211.85	211.885	we
212.21	212.245	see
212.29	212.325	another
212.45	212.565	spike,
213.25	213.285	we
213.33	213.365	can
213.69	213.725	dig
213.85	213.885	in.
219.04	219.075	If
219.08	219.115	you
219.4	219.435	have
219.48	219.515	any
219.6	219.635	more
219.96	219.995	information.
221.99	222.025	About.
223.06	223.095	This
223.5	223.535	tool.
224.65	224.685	Maybe
225.09	225.125	you
225.13	225.165	could
225.21	225.245	share
225.37	225.405	that.
228.64	228.675	Finish
228.76	228.795	some
228.84	228.875	work.
229.48	229.515	I
229.56	229.595	was
229.72	229.755	kind
229.76	229.795	of
229.84	229.875	looking.
230.95	230.985	If
231.03	231.105	it's
231.39	231.425	ready,
231.79	231.825	but
232.23	232.265	I
232.39	232.425	had
232.67	232.705	some
232.79	232.985	unexpected
233.55	233.625	errors
233.67	233.705	and
233.75	233.785	whatever.
234.11	234.145	So
234.19	234.225	maybe
234.55	234.585	I
234.63	234.665	can
234.95	234.985	say
235.03	235.065	like,
235.11	235.145	okay,
235.39	235.425	if
235.47	235.505	you
235.51	235.545	want
235.55	235.585	to
235.83	236.025	investigate
236.27	236.305	and
236.35	236.385	we
236.39	236.425	can
236.75	236.785	wait
236.83	236.865	a
236.87	236.905	week.
238.42	238.535	I'm
238.54	238.575	going
238.58	238.615	to
238.62	238.655	get
238.98	239.015	stuff
239.1	239.135	ready
239.46	239.495	for
240.14	240.175	in
240.22	240.255	a
240.26	240.295	week
240.38	240.415	and
240.66	240.695	I
240.74	240.775	also
240.86	240.895	still
241.22	241.295	don't
241.58	241.615	have
242.14	242.175	access
242.62	242.655	to.
245.49	245.565	Prod
245.65	245.725	machines
246.05	246.085	to
246.13	246.165	kind
246.17	246.205	of
246.53	246.645	ssh.
247.68	247.715	And
248.24	248.275	open
248.8	248.835	the
249.12	249.155	electric
249.6	249.755	console
250.04	250.075	there.
250.16	250.195	So.
251.67	251.705	I
251.75	251.825	can't
251.87	251.905	do
251.95	251.985	anything
252.39	252.425	hands
252.79	252.825	on
253.27	253.305	yet.
254.78	254.815	So.
255.89	256.005	Let's
256.33	256.365	wait.
257.21	257.245	Okay.
257.61	257.645	Yeah.
257.93	257.965	I
257.97	258.005	think
258.05	258.125	it's
258.49	258.525	like
258.89	258.925	we
259.01	259.045	still
259.85	259.885	have.
261.16	261.275	Basic
261.6	261.795	tooling
262.12	262.155	around
262.88	262.995	telling
263.36	263.395	this
263.48	263.515	stuff.
264.55	264.585	Like
264.67	264.705	you
265.03	265.065	use
265.15	265.185	the
265.23	265.265	built
265.71	265.745	in.
267.7	267.895	Erlang
268.22	268.255	process
268.74	268.855	info
269.18	269.215	to
269.26	269.295	get
269.66	269.695	information
270.06	270.095	about
270.5	270.615	memory
271.26	271.295	and
271.78	272.375	reductions.
275.13	275.165	It's
275.17	275.205	not
275.25	275.285	always.
277.64	278.075	Fruitful,
278.44	278.475	in
278.48	278.515	terms
278.56	278.595	of
279.16	279.195	these
279.36	279.555	debugging.
281.99	282.385	Memory
282.43	282.465	is
282.79	282.825	a
282.83	282.865	little
283.19	283.265	easier
283.39	283.425	to
283.47	283.505	track
283.83	283.865	because.
284.98	285.175	Processes.
286.29	286.325	Are
286.33	286.365	just
286.73	286.765	taking
